
13-02-2018 10:08:46:380 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 10-08-25-678\Phase 2 - Round 35\A"
13-02-2018 10:08:46:380 - I: 	Executing process python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 10-08-25-678\Phase 2 - Round 35\A"
13-02-2018 10:08:46:396 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 10:08:46:474 - I: 	Output from bot: ['Submarine', 'Destroyer', 'Battleship']
13-02-2018 10:08:46:474 - I: 	Output from bot: !
13-02-2018 10:08:46:474 - I: 	Output from bot: 1
13-02-2018 10:08:46:474 - I: 	Output from bot: 
13-02-2018 10:08:46:474 - E: 	Output from bot: 
13-02-2018 10:08:46:474 - I: 	Your bots total execution time was 00:00:00.0906031
