
13-02-2018 08:01:08:480 - I: 	Loaded bot ..\Reference Bots\Python3
13-02-2018 08:01:08:511 - I: 	Loaded bot ..\Reference Bots\BotJuara
13-02-2018 08:01:08:511 - I: 	Registered player py3Bot
13-02-2018 08:01:08:511 - I: 	Registered player BotJuara
13-02-2018 08:01:08:527 - I: 		OK!
13-02-2018 08:01:09:777 - I: 	Added Command PlaceShipCommand for Player py3Bot
13-02-2018 08:01:09:933 - I: 	Added Command PlaceShipCommand for Player BotJuara
13-02-2018 08:01:09:933 - D: 	Beginning round processing
13-02-2018 08:01:09:933 - D: 	Processing Player Commands
13-02-2018 08:01:09:949 - D: 	Killing off players who have no ships left
13-02-2018 08:01:09:949 - D: 	Round processing complete
