
13-02-2018 09:51:24:664 - I: 	Loaded bot ..\Reference Bots\Nirzz
13-02-2018 09:51:24:679 - I: 	Loaded bot ..\Reference Bots\BotJuara
13-02-2018 09:51:24:679 - I: 	Registered player niraka
13-02-2018 09:51:24:679 - I: 	Registered player BotJuara
13-02-2018 09:51:24:710 - I: 		OK!
13-02-2018 09:51:26:070 - I: 	Added Command PlaceShipCommand for Player niraka
13-02-2018 09:51:26:226 - I: 	Added Command PlaceShipCommand for Player BotJuara
13-02-2018 09:51:26:226 - D: 	Beginning round processing
13-02-2018 09:51:26:242 - D: 	Processing Player Commands
13-02-2018 09:51:26:242 - D: 	Killing off players who have no ships left
13-02-2018 09:51:26:242 - D: 	Round processing complete
