
13-02-2018 09:58:49:340 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-58-47-610\Phase 2 - Round 2\A"
13-02-2018 09:58:49:340 - I: 	Executing process python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-58-47-610\Phase 2 - Round 2\A"
13-02-2018 09:58:49:340 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 09:58:49:418 - I: 	Output from bot: ['Submarine', 'Destroyer', 'Battleship', 'Carrier', 'Cruiser']
13-02-2018 09:58:49:418 - I: 	Output from bot: []
13-02-2018 09:58:49:418 - I: 	Output from bot: 0
13-02-2018 09:58:49:418 - I: 	Output from bot: pair
13-02-2018 09:58:49:418 - I: 	Output from bot: random
13-02-2018 09:58:49:418 - I: 	Output from bot: priority 1
13-02-2018 09:58:49:418 - I: 	Output from bot: 
13-02-2018 09:58:49:418 - E: 	Output from bot: 
13-02-2018 09:58:49:418 - I: 	Your bots total execution time was 00:00:00.0864013
