
13-02-2018 09:51:43:229 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-51-24-523\Phase 2 - Round 25\A"
13-02-2018 09:51:43:229 - I: 	Executing process python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-51-24-523\Phase 2 - Round 25\A"
13-02-2018 09:51:43:244 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 09:51:43:307 - I: 	Output from bot: ['Submarine', 'Destroyer', 'Battleship']
13-02-2018 09:51:43:307 - I: 	Output from bot: damaged
13-02-2018 09:51:43:307 - I: 	Output from bot: 1 , 1
13-02-2018 09:51:43:307 - I: 	Output from bot: damaged
13-02-2018 09:51:43:307 - I: 	Output from bot: 1 , 2
13-02-2018 09:51:43:307 - I: 	Output from bot: damaged
13-02-2018 09:51:43:307 - I: 	Output from bot: 1 , 3
13-02-2018 09:51:43:307 - I: 	Output from bot: damaged
13-02-2018 09:51:43:307 - I: 	Output from bot: 1 , 4
13-02-2018 09:51:43:307 - I: 	Output from bot: damaged
13-02-2018 09:51:43:307 - I: 	Output from bot: 4 , 4
13-02-2018 09:51:43:307 - I: 	Output from bot: damaged
13-02-2018 09:51:43:307 - I: 	Output from bot: 4 , 5
13-02-2018 09:51:43:307 - I: 	Output from bot: damaged
13-02-2018 09:51:43:307 - I: 	Output from bot: 4 , 6
13-02-2018 09:51:43:307 - I: 	Output from bot: damaged
13-02-2018 09:51:43:307 - I: 	Output from bot: 7 , 6
13-02-2018 09:51:43:307 - I: 	Output from bot: damaged
13-02-2018 09:51:43:307 - I: 	Output from bot: 7 , 7
13-02-2018 09:51:43:307 - I: 	Output from bot: [(1, 3), (1, 0), (1, 4), (1, 1), (1, 5), (1, 2), (4, 6), (4, 3), (4, 7), (4, 4), (7, 8), (7, 5)]
13-02-2018 09:51:43:307 - I: 	Output from bot: 12
13-02-2018 09:51:43:307 - I: 	Output from bot: pair
13-02-2018 09:51:43:307 - I: 	Output from bot: random
13-02-2018 09:51:43:307 - I: 	Output from bot: priority 1
13-02-2018 09:51:43:323 - E: 	Output from bot: 
13-02-2018 09:51:43:323 - I: 	Output from bot: 
13-02-2018 09:51:43:323 - I: 	Your bots total execution time was 00:00:00.0879115
