
06-02-2018 14:24:57:118 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\user\Desktop\Strategi Algoritma\tubes1stima\Game Engine -  Version 1.2.2\Game Engine\Replays\2018-02-06 14-24-41-435\Phase 2 - Round 8\A"
06-02-2018 14:24:57:118 - I: 	Executing process python.exe "bot.py" A "C:\Users\user\Desktop\Strategi Algoritma\tubes1stima\Game Engine -  Version 1.2.2\Game Engine\Replays\2018-02-06 14-24-41-435\Phase 2 - Round 8\A"
06-02-2018 14:24:57:198 - I: 	Bot has 4000ms to run before it will be forcefully killed
06-02-2018 14:24:57:330 - E: 	Output from bot: Traceback (most recent call last):
06-02-2018 14:24:57:330 - E: 	Output from bot:   File "bot.py", line 234, in <module>
06-02-2018 14:24:57:330 - E: 	Output from bot:     main(args.PlayerKey)
06-02-2018 14:24:57:330 - E: 	Output from bot:   File "bot.py", line 45, in main
06-02-2018 14:24:57:330 - E: 	Output from bot:     greedy(state['OpponentMap']['Cells'], state['PlayerMap']['Owner']['Energy'], state['PlayerMap']['Owner']['Points'])
06-02-2018 14:24:57:330 - E: 	Output from bot:   File "bot.py", line 67, in greedy
06-02-2018 14:24:57:330 - E: 	Output from bot:     (x,y,direction) = read_file()
06-02-2018 14:24:57:330 - E: 	Output from bot:   File "bot.py", line 33, in read_file
06-02-2018 14:24:57:330 - E: 	Output from bot:     return (x, y, direction)
06-02-2018 14:24:57:330 - E: 	Output from bot: UnboundLocalError: local variable 'x' referenced before assignment
06-02-2018 14:24:57:337 - E: 	Output from bot: 
06-02-2018 14:24:57:337 - I: 	Output from bot: 
06-02-2018 14:24:57:340 - I: 	Your bots total execution time was 00:00:00.2219375
