
13-02-2018 10:00:02:053 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-59-53-049\Phase 2 - Round 15\A"
13-02-2018 10:00:02:053 - I: 	Executing process python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-59-53-049\Phase 2 - Round 15\A"
13-02-2018 10:00:02:069 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 10:00:02:147 - I: 	Output from bot: ['Submarine', 'Destroyer', 'Battleship', 'Carrier']
13-02-2018 10:00:02:147 - I: 	Output from bot: damaged
13-02-2018 10:00:02:147 - I: 	Output from bot: 4 , 4
13-02-2018 10:00:02:147 - I: 	Output from bot: damaged
13-02-2018 10:00:02:147 - I: 	Output from bot: 4 , 5
13-02-2018 10:00:02:147 - I: 	Output from bot: damaged
13-02-2018 10:00:02:147 - I: 	Output from bot: 4 , 6
13-02-2018 10:00:02:147 - I: 	Output from bot: damaged
13-02-2018 10:00:02:147 - I: 	Output from bot: 5 , 1
13-02-2018 10:00:02:147 - I: 	Output from bot: damaged
13-02-2018 10:00:02:147 - I: 	Output from bot: 6 , 1
13-02-2018 10:00:02:147 - I: 	Output from bot: [(4, 6), (4, 3), (4, 7), (4, 4), (4, 1), (7, 1)]
13-02-2018 10:00:02:147 - I: 	Output from bot: 6
13-02-2018 10:00:02:147 - I: 	Output from bot: pair
13-02-2018 10:00:02:147 - I: 	Output from bot: !
13-02-2018 10:00:02:147 - I: 	Output from bot: [(4, 1), (7, 1)]
13-02-2018 10:00:02:147 - E: 	Output from bot: 
13-02-2018 10:00:02:147 - I: 	Output from bot: 
13-02-2018 10:00:02:147 - I: 	Your bots total execution time was 00:00:00.0902995
