
13-02-2018 10:11:11:414 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 10-11-05-835\Phase 2 - Round 8\A"
13-02-2018 10:11:11:414 - I: 	Executing process python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 10-11-05-835\Phase 2 - Round 8\A"
13-02-2018 10:11:11:414 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 10:11:11:492 - I: 	Output from bot: ['Submarine', 'Destroyer', 'Battleship', 'Carrier', 'Cruiser']
13-02-2018 10:11:11:492 - I: 	Output from bot: damaged
13-02-2018 10:11:11:492 - I: 	Output from bot: 6 , 1
13-02-2018 10:11:11:492 - I: 	Output from bot: damaged
13-02-2018 10:11:11:492 - I: 	Output from bot: 7 , 1
13-02-2018 10:11:11:492 - I: 	Output from bot: damaged
13-02-2018 10:11:11:492 - I: 	Output from bot: 8 , 1
13-02-2018 10:11:11:492 - I: 	Output from bot: [(5, 1), (8, 1), (6, 1), (9, 1)]
13-02-2018 10:11:11:492 - I: 	Output from bot: 4
13-02-2018 10:11:11:492 - I: 	Output from bot: pair
13-02-2018 10:11:11:492 - I: 	Output from bot: !
13-02-2018 10:11:11:492 - I: 	Output from bot: [(5, 1), (9, 1)]
13-02-2018 10:11:11:507 - E: 	Output from bot: 
13-02-2018 10:11:11:507 - I: 	Output from bot: 
13-02-2018 10:11:11:507 - I: 	Your bots total execution time was 00:00:00.0937357
