
13-02-2018 10:05:01:682 - I: 	Loaded bot ..\Reference Bots\Nirzz
13-02-2018 10:05:01:714 - I: 	Loaded bot ..\Reference Bots\BotJuara
13-02-2018 10:05:01:714 - I: 	Registered player niraka
13-02-2018 10:05:01:714 - I: 	Registered player BotJuara
13-02-2018 10:05:01:745 - I: 		OK!
13-02-2018 10:05:02:546 - I: 	Added Command PlaceShipCommand for Player niraka
13-02-2018 10:05:02:734 - I: 	Added Command PlaceShipCommand for Player BotJuara
13-02-2018 10:05:02:734 - D: 	Beginning round processing
13-02-2018 10:05:02:734 - D: 	Processing Player Commands
13-02-2018 10:05:02:750 - D: 	Killing off players who have no ships left
13-02-2018 10:05:02:750 - D: 	Round processing complete
