
13-02-2018 10:00:05:695 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-59-53-049\Phase 2 - Round 22\A"
13-02-2018 10:00:05:695 - I: 	Executing process python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-59-53-049\Phase 2 - Round 22\A"
13-02-2018 10:00:05:711 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 10:00:05:789 - I: 	Output from bot: ['Submarine', 'Battleship', 'Carrier']
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 1 , 1
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 1 , 2
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 1 , 3
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 4 , 1
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 4 , 4
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 4 , 5
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 4 , 6
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 5 , 1
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 6 , 1
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 7 , 1
13-02-2018 10:00:05:789 - I: 	Output from bot: damaged
13-02-2018 10:00:05:789 - I: 	Output from bot: 8 , 1
13-02-2018 10:00:05:789 - I: 	Output from bot: [(1, 3), (1, 0), (1, 4), (1, 1), (3, 1), (6, 1), (4, 6), (4, 3), (4, 7), (4, 4), (4, 1), (7, 1), (5, 1), (8, 1), (6, 1), (9, 1)]
13-02-2018 10:00:05:789 - I: 	Output from bot: 16
13-02-2018 10:00:05:789 - I: 	Output from bot: pair
13-02-2018 10:00:05:789 - I: 	Output from bot: !
13-02-2018 10:00:05:789 - I: 	Output from bot: [(1, 0), (9, 1), (1, 4)]
13-02-2018 10:00:05:789 - E: 	Output from bot: 
13-02-2018 10:00:05:789 - I: 	Output from bot: 
13-02-2018 10:00:05:804 - I: 	Your bots total execution time was 00:00:00.0989657
