
13-02-2018 09:51:38:932 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-51-24-523\Phase 2 - Round 19\A"
13-02-2018 09:51:38:932 - I: 	Executing process python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-51-24-523\Phase 2 - Round 19\A"
13-02-2018 09:51:38:932 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 09:51:38:994 - I: 	Output from bot: ['Submarine', 'Destroyer', 'Battleship']
13-02-2018 09:51:38:994 - I: 	Output from bot: damaged
13-02-2018 09:51:38:994 - I: 	Output from bot: 1 , 2
13-02-2018 09:51:38:994 - I: 	Output from bot: []
13-02-2018 09:51:38:994 - I: 	Output from bot: 0
13-02-2018 09:51:38:994 - I: 	Output from bot: single
13-02-2018 09:51:38:994 - I: 	Output from bot: 13
13-02-2018 09:51:38:994 - I: 	Output from bot: !
13-02-2018 09:51:38:994 - I: 	Output from bot: [(0, 2), (1, 3), (1, 1), (2, 2)]
13-02-2018 09:51:39:010 - E: 	Output from bot: 
13-02-2018 09:51:39:010 - I: 	Output from bot: 
13-02-2018 09:51:39:010 - I: 	Your bots total execution time was 00:00:00.0798296
